L,R,F,M,C
88,1,210,580717,0.9616390429999999
85,7,140,293678,1.25231444
85,11,135,283712,1.254675516
67,97,23,281336,1.090869565
59,5,152,309928,0.970657895
73,79,92,294585,0.967692483
96,1,101,287042,0.965346535
47,3,73,287230,0.962070222
33,6,56,321489,0.828478237
44,15,64,375074,0.7080101529999999
40,22,43,262013,0.988658044
112,6,145,271438,0.95253487
88,67,29,321529,0.799126984
89,3,118,179514,1.398381742
49,2,50,270067,0.9219848409999999
72,65,22,234721,1.0260845859999999
44,7,101,172231,1.3865249
40,45,40,284160,0.8378442429999999
95,2,64,169358,1.4015962640000001
31,24,38,332896,0.70828541
68,4,106,167113,1.369404116
33,6,23,214590,1.0616309240000001
107,23,94,305250,0.741803833
47,74,20,222380,1.004904443
49,17,44,281837,0.7873084440000001
41,17,62,243674,0.9029900190000001
85,3,213,187917,1.146354614
110,11,74,148685,1.4333644280000002
98,18,101,159129,1.33816985
69,11,87,149254,1.424714581
95,2,53,144076,1.469224298
112,8,95,149053,1.414895104
107,16,131,220948,0.9448842709999999
96,3,95,148227,1.3986401940000002
87,3,47,285144,0.725685618
53,108,25,220389,0.937899941
109,34,24,189813,1.087220053
96,125,54,141012,1.462104927
82,1,166,229303,0.890172305
61,34,81,140819,1.4291794430000002
95,2,98,137876,1.458541443
38,3,35,201141,0.9985545459999999
86,3,95,140803,1.3969850069999998
46,13,46,256766,0.764737193
111,38,54,160825,1.20853437
39,22,21,185493,1.029507529
20,1,110,187588,1.015978367
92,7,134,140356,1.356053179
110,2,107,135811,1.3989924230000002
44,304,70,219282,0.863479447
70,1,189,235687,0.802633323
26,4,87,132283,1.4251770069999998
88,11,29,211369,0.8888699859999999
75,1,48,130135,1.408197795
80,1,68,135374,1.349375212
111,4,111,216560,0.828452854
76,22,69,131660,1.3549435669999998
73,4,126,204371,0.867522349
111,15,55,153868,1.1460005979999999
110,21,76,214921,0.819187329
109,15,68,127335,1.380410335
112,1,77,136121,1.2880183809999999
45,6,84,186821,0.9380310559999999
34,14,96,204612,0.848239546
46,8,30,164001,1.0572572120000001
103,19,85,121097,1.4261062619999998
76,88,32,182563,0.9446501209999999
44,19,34,170121,1.0136699759999999
41,1,197,275800,0.620507614
63,7,30,184194,0.928504294
19,62,18,209911,0.8118710790000001
53,19,64,137636,1.236256939
27,4,149,219108,0.774487057
76,13,61,143186,1.183962818
41,36,36,209839,0.8061770690000001
43,22,22,170406,0.992454374
12,29,23,169224,0.995539285
33,18,16,163191,1.019520072
41,8,102,140220,1.1793689920000001
101,6,81,159255,1.034587737
21,6,30,208687,0.782406571
92,12,127,170611,0.956332827
66,2,56,116728,1.394863786
23,1,79,208797,0.777341772
109,9,97,155881,1.036667137
112,2,158,205159,0.784701427
94,7,64,115300,1.3912993059999998
44,13,51,137500,1.165835855
81,144,29,157056,1.0178590440000002
77,1,69,114077,1.3874902919999998
69,15,88,122619,1.281481989
38,15,42,162453,0.9660694479999999
86,10,129,109813,1.429138536
88,14,67,123464,1.265322199
47,53,12,146784,1.059166667
112,4,100,162250,0.952273652
102,11,69,118726,1.297050351
35,34,17,125349,1.226505277
112,9,12,146784,1.046666667
23,4,54,144562,1.053910364
68,21,79,123985,1.228445376
66,5,87,105119,1.4454897780000002
23,17,53,144682,1.046215562
86,17,92,134823,1.1183160890000001
46,11,48,150537,1.001144569
101,3,90,108184,1.390945611
62,9,56,104663,1.435274261
107,4,146,191328,0.7832398290000001
30,15,35,167150,0.894261083
29,63,33,174046,0.85318887
103,7,142,177357,0.835532119
40,44,31,204438,0.723434195
88,29,53,102999,1.434114409
82,14,21,159605,0.9251142509999999
21,27,16,195712,0.75375
112,3,85,155704,0.9461749220000001
112,22,71,119961,1.225504039
67,2,130,167593,0.873661907
46,4,89,149557,0.9780682279999999
104,11,83,103087,1.411593411
111,2,99,162215,0.8969661870000001
108,27,40,198627,0.731685018
70,11,52,99524,1.458000784
99,10,65,119794,1.210876087
107,3,34,151642,0.951756044
91,6,83,149993,0.9607655690000001
28,24,65,109089,1.318943707
15,23,18,146238,0.982511386
81,4,66,102689,1.39722054
95,2,52,105167,1.3569867919999998
36,38,27,182561,0.780547269
112,1,193,209912,0.6756097790000001
21,6,65,184730,0.764
23,59,14,144708,0.97367319
53,11,24,213058,0.658633893
41,17,89,177556,0.787337009
69,8,57,98104,1.42497258
52,12,101,140188,0.996902945
12,16,19,155552,0.897522308
93,24,95,140931,0.988949912
71,7,85,97855,1.423453171
112,22,108,169746,0.8176859540000001
112,4,64,97250,1.426656247
107,3,113,204853,0.6743815809999999
55,1,31,95766,1.438600025
100,5,79,129119,1.065611103
22,17,109,163010,0.843554751
60,18,19,201613,0.681331859
57,25,120,172352,0.7902875509999999
95,1,45,116917,1.154155854
82,135,19,136374,0.9889101290000001
46,184,22,135717,0.993493225
51,15,80,105118,1.277942503
87,6,82,106666,1.255920537
43,12,90,179472,0.744693267
43,157,17,143287,0.9319913879999999
90,9,39,97116,1.3747245559999999
70,11,102,102961,1.295748779
112,11,90,158149,0.8431856670000001
110,7,125,176585,0.75433474
85,23,77,94142,1.414713624
111,6,79,157844,0.843179595
88,13,116,165365,0.802227557
38,15,58,91515,1.448642081
92,8,109,144321,0.914492693
92,9,180,182540,0.720028487
50,1,103,218087,0.602317149
110,8,107,155834,0.841613512
36,121,14,125796,1.040394289
49,2,149,155588,0.836742487
30,49,76,94185,1.3801774169999999
85,3,55,94577,1.3695237740000001
30,4,80,92022,1.407186108
110,16,40,139742,0.926317142
98,7,142,183472,0.702883928
12,23,14,126850,1.016463224
37,30,24,125340,1.026238631
34,18,13,126495,1.014545871
87,2,85,151736,0.843447435
108,3,68,117537,1.085817147
108,8,116,161730,0.786706177
23,2,123,89350,1.419099832
83,17,47,91018,1.389867279
43,95,14,123662,1.022610665
93,107,49,90602,1.394936204
106,2,86,157799,0.799002655
73,11,60,106278,1.182681834
104,4,110,166843,0.7509068409999999
43,179,15,183480,0.681333333
108,2,67,119347,1.046676247
49,1,51,99034,1.259950118
46,69,74,96520,1.289827497
42,27,12,121632,1.023333333
52,6,59,85171,1.461263576
55,18,120,176951,0.701123814
66,3,60,88428,1.40060309
93,1,57,90553,1.3667442269999999
27,57,43,195034,0.631640227
71,2,113,151060,0.81511929
106,23,42,165589,0.743348652
107,16,58,94554,1.299097235
101,30,16,184227,0.66544855
112,18,122,180074,0.68017726
106,6,72,91164,1.343311285
52,10,113,121394,1.008554047
103,2,77,157206,0.7772353470000001
63,10,57,91658,1.332451177
26,13,16,115401,1.057235119
58,9,77,151637,0.803643702
110,3,88,117157,1.039534044
82,51,13,137604,0.884236795
106,3,124,113615,1.0701947809999999
100,31,69,147549,0.823818121
73,1,66,86430,1.406350341
39,102,26,178921,0.6793056709999999
55,4,59,94946,1.273062688
81,1,125,189177,0.6379945770000001
60,11,97,171544,0.701652637
98,3,57,144505,0.832500467
38,5,64,262290,0.457967364
111,114,49,88903,1.3509114430000002
78,2,58,84353,1.423312271
107,5,136,145540,0.82433441
39,4,68,148879,0.8048453440000001
73,4,71,180226,0.664729007
88,16,116,130636,0.9163108940000001
82,1,110,172640,0.6930268190000001
68,12,105,145253,0.823284201
60,21,52,83356,1.433468257
105,3,106,167199,0.714441235
107,178,11,112128,1.065035317
47,13,59,92635,1.2839906079999999
76,18,59,145433,0.817583423
98,26,83,94441,1.2547285609999999
22,317,10,122320,0.966
67,1,116,136228,0.8661216490000001
107,2,95,138873,0.849043083
31,6,79,151183,0.7788971640000001
96,7,76,86061,1.367977249
80,1,100,91727,1.282347182
112,1,107,165304,0.7108682190000001
97,290,25,109336,1.074683178
69,13,114,151625,0.774562836
48,9,57,84080,1.3949203140000002
86,22,76,119514,0.98076627
17,99,11,111496,1.05
95,30,43,94144,1.240551283
37,22,20,148827,0.7845195429999999
81,32,53,85000,1.373478
102,4,56,82981,1.403768453
30,2,84,140535,0.827823318
72,6,111,141864,0.819703519
34,18,109,126167,0.921339098
96,5,60,98083,1.175007596
44,3,61,161499,0.713012031
67,9,43,93447,1.231469603
87,5,149,157683,0.724336929
41,4,43,111807,1.020765158
47,83,56,114358,0.9958276640000001
100,3,94,109142,1.0409337379999999
103,13,84,139338,0.811427392
20,9,16,107047,1.051401627
98,17,128,131315,0.856878118
89,2,124,130776,0.8600265340000001
38,4,111,130622,0.8591966129999999
56,1,77,134838,0.832180765
95,22,42,77936,1.4360421369999998
52,1,124,160524,0.695089955
32,6,19,96503,1.156085303
43,45,53,134627,0.828407972
33,1,61,83245,1.337276713
51,1,17,105377,1.0563960829999999
31,4,48,119036,0.9347252090000001
89,22,26,94249,1.178456641
96,31,43,79426,1.3955870869999998
55,61,87,115134,0.962306964
46,1,114,124499,0.889901525
49,20,54,75651,1.462917873
51,20,68,163454,0.676618926
78,6,112,134757,0.82046172
65,13,73,163958,0.6731207379999999
81,38,49,80641,1.3682818909999999
19,2,40,127004,0.868515165
108,5,82,135413,0.81353969
62,1,154,129582,0.8481413309999999
100,13,58,145294,0.7557019559999999
67,2,52,97731,1.120337764
40,8,43,78765,1.388142957
61,4,105,138593,0.7888733920000001
98,4,97,116461,0.93836632
45,112,17,121870,0.896000164
49,59,32,77106,1.416159832
46,5,37,119320,0.9142707840000001
96,5,86,159612,0.682643911
24,13,62,139995,0.778110575
39,11,67,127081,0.856602875
93,8,84,129836,0.837625235
62,8,117,132853,0.8163014759999999
57,2,122,129272,0.837572715
94,24,87,131029,0.82610529
62,2,73,75413,1.4347562090000001
102,8,97,113939,0.949395993
49,5,93,150612,0.7180637
49,8,83,134621,0.8017396990000001
42,11,105,145865,0.7375951740000001
75,56,27,164336,0.654476682
99,31,24,110964,0.968107765
95,2,137,122439,0.874927107
18,22,57,90144,1.187537496
51,7,50,89115,1.201031476
34,8,45,139898,0.765013009
29,1,109,122024,0.877036239
51,18,46,80830,1.32374168
68,17,77,139876,0.763144213
89,5,60,154736,0.689844509
21,6,66,151383,0.705022823
83,4,77,144030,0.74088551
96,16,77,80208,1.3258335829999999
41,13,28,77108,1.3789923219999998
34,113,34,143761,0.739229694
81,9,62,141413,0.751386294
47,34,53,73717,1.440717609
30,4,37,72741,1.4590118369999998
85,65,94,126174,0.839762709
81,10,48,74411,1.4236073969999998
44,5,52,73647,1.4306748409999999
34,1,52,135689,0.776371777
100,33,59,127314,0.827179729
73,9,72,149171,0.705943112
70,13,47,76753,1.37078264
112,9,107,169750,0.619739087
32,23,96,136246,0.7718554670000001
23,5,132,151273,0.694012613
38,2,168,130985,0.8006591590000001
27,17,49,125237,0.837061811
111,136,12,103960,1.00799115
87,13,36,109695,0.9543194309999999
95,77,21,137610,0.7606666670000001
62,24,60,137654,0.760252081
112,33,84,117382,0.8915401
95,7,59,97219,1.075326325
95,1,118,139566,0.746258043
67,27,49,78417,1.327684941
19,4,74,113789,0.91433425
27,7,64,139827,0.7440065220000001
79,19,47,71121,1.461826465
88,1,46,71012,1.462023883
82,7,115,115562,0.8967864
41,13,28,72232,1.4345135119999999
45,351,12,100421,1.029644795
92,8,65,93221,1.1075239479999999
51,66,24,183418,0.562442563
67,4,50,135574,0.7601155829999999
83,5,98,141053,0.728867305
102,1,46,73338,1.3989986090000002
57,17,61,114031,0.899280547
28,84,28,82659,1.238878525
26,68,28,73852,1.3861765419999998
17,15,17,104641,0.978310605
94,1,51,72274,1.416135816
73,16,85,104969,0.974864579
98,2,128,147767,0.69244581
18,14,23,157186,0.6506196479999999
73,2,78,121231,0.84343724
62,1,67,135439,0.754458243
103,1,96,131739,0.775295546
35,20,118,143796,0.7100688479999999
20,48,86,128754,0.792415925
25,5,36,124032,0.82250645
56,83,10,99312,1.025894957
90,1,34,70486,1.4433162609999999
92,2,23,74910,1.357742091
85,5,76,138952,0.7315326879999999
51,19,45,145724,0.696498655
103,18,111,145458,0.697522309
95,25,47,82382,1.230913428
98,1,84,75766,1.337146213
108,1,134,116627,0.8674246959999999
96,3,46,130782,0.7711733270000001
112,6,96,135009,0.746628299
38,94,16,107690,0.936013465
105,11,83,133367,0.7554607959999999
102,3,93,109943,0.91579564
32,6,13,159016,0.632307692
17,2,36,113253,0.886428351
95,11,73,123568,0.810458452
26,1,98,76759,1.3033094490000001
94,3,116,140571,0.7104835279999999
107,17,61,81113,1.230116011
44,13,85,70965,1.401901923
82,10,48,68459,1.453157218
77,6,104,137698,0.7217528940000001
94,12,57,84129,1.179321043
95,9,43,130985,0.757415506
37,12,101,117880,0.841051069
77,2,69,141164,0.7021256840000001
77,5,71,70069,1.413737887
62,5,124,118049,0.837548052
76,18,86,89195,1.10819519
81,12,82,120536,0.8186665390000001
36,1,122,137879,0.7144708040000001
21,20,18,136876,0.718332944
109,22,39,70792,1.3874498530000001
44,4,83,112709,0.870657357
81,1,81,99888,0.982403492
66,34,66,111545,0.8786453000000002
108,41,46,71622,1.365195471
79,3,75,131146,0.745084105
110,79,69,126180,0.7741921070000001
54,10,45,68136,1.432941764
80,4,36,66829,1.4604936480000001
111,1,106,130691,0.7464892759999999
45,19,64,66612,1.464381643
30,6,61,132797,0.7340983609999999
19,1,67,123556,0.788739195
95,30,52,125190,0.778333174
36,13,21,138363,0.704172358
30,9,100,116315,0.8364075999999999
72,1,119,100147,0.9713272490000001
109,20,79,74503,1.305487564
55,4,101,118160,0.822947613
102,5,116,129478,0.750052132
35,85,42,74368,1.3036952720000001
107,3,82,126149,0.7679306220000001
101,11,96,134194,0.72174598
67,11,79,124218,0.779597965
96,4,133,143216,0.675632052
61,15,73,134897,0.7170868140000001
96,1,58,122349,0.7904340040000001
66,135,19,130168,0.7423071720000001
14,1,62,76356,1.265360941
76,5,46,67761,1.425841856
33,16,38,66550,1.450518407
44,23,65,112320,0.858959758
15,13,15,99645,0.9681668920000001
46,2,93,127824,0.754275019
65,6,13,147883,0.6511630820000001
75,4,60,118514,0.811934708
42,2,93,117159,0.82114127
28,15,83,134851,0.712543548
21,16,44,108388,0.8862730190000001
102,8,62,112125,0.855358305
40,2,89,78410,1.221743017
109,2,78,121245,0.789605839
83,26,39,70142,1.3639718
54,14,101,102834,0.9299381529999999
50,17,44,65769,1.452790676
55,32,31,69453,1.375394871
56,7,75,122158,0.781846052
81,18,93,106705,0.894763601
47,20,54,71496,1.33526505
102,18,73,76834,1.2420329540000001
107,2,70,98334,0.969874916
72,14,36,102876,0.9265317470000001
74,5,45,67936,1.4012784090000001
65,14,97,66431,1.4327861990000001
53,10,107,132823,0.715139321
72,8,123,111589,0.8507229209999999
31,29,38,67361,1.408719882
83,13,98,129338,0.7335678609999999
79,7,33,65345,1.4518301319999998
64,6,39,68043,1.393603751
42,8,72,73670,1.286411022
41,6,83,126476,0.7490311209999999
108,4,66,121756,0.7776507109999999
72,37,46,120983,0.78231049
112,9,65,102504,0.9232600679999999
82,5,99,123899,0.763360156
60,4,54,64453,1.463962112
84,16,65,107397,0.8783021870000001
94,243,27,100143,0.941445133
61,21,36,72186,1.302530408
31,20,61,71752,1.3061068679999999
88,32,49,65717,1.425973949
69,3,46,71260,1.3145343809999999
72,6,103,125149,0.7469010540000001
81,73,52,76072,1.228696235
18,9,36,68799,1.35804096
56,12,37,66530,1.4023350369999998
100,14,100,64900,1.4373
78,7,51,87589,1.06409081
87,12,69,125139,0.742781227
21,8,82,109233,0.8508076309999999
17,17,13,95577,0.9717373429999999
37,25,65,74458,1.246913025
23,5,45,74389,1.247410235
85,2,118,137477,0.67473221
70,11,75,127816,0.7257207240000001
34,1,56,117444,0.789488352
84,6,73,128233,0.720501275
41,17,66,82682,1.1168940040000002
32,6,21,139888,0.660121097
68,4,78,114244,0.8077245190000001
69,2,90,122350,0.753979567
112,8,80,120362,0.766244247
25,85,20,121103,0.761441087
110,31,80,117968,0.781219907
110,34,95,104659,0.87833354
89,2,99,117708,0.7805520440000001
84,17,90,128188,0.716619964
80,1,33,63453,1.447113927
105,12,73,110537,0.8304361440000001
94,18,127,124500,0.7372848190000001
32,158,83,114627,0.8003160690000001
27,8,27,90731,1.010241814
48,1,97,149015,0.614937825
93,7,77,104572,0.875997495
51,65,19,86805,1.053728357
86,41,13,125853,0.72670131
108,1,139,129859,0.703798197
104,6,86,113677,0.803908618
106,2,82,123788,0.7376269109999999
93,31,41,91797,0.9943289000000001
52,2,72,120888,0.7550119120000001
108,11,82,116502,0.782969391
24,4,83,66764,1.36549308
99,14,92,103985,0.8751388179999999
93,25,49,98732,0.9204995340000001
112,10,74,126274,0.719323851
45,4,78,106195,0.854748717
78,9,49,105720,0.858548997
54,29,44,69154,1.311839518
84,13,26,103395,0.8757814209999999
112,2,85,124022,0.729566125
40,5,49,62116,1.454720362
103,5,69,105755,0.854199991
16,8,53,114734,0.7872666340000001
65,67,11,134552,0.6709090910000001
96,10,55,117957,0.76517731
111,14,39,63230,1.4274219519999998
64,34,18,124386,0.725114241
59,22,63,137264,0.656078433
50,181,23,169931,0.529890073
32,13,55,103869,0.8668173370000001
23,24,36,112436,0.7999573090000001
96,8,43,69158,1.299686515
48,2,59,78595,1.142706025
23,4,69,98267,0.913754872
30,27,77,149556,0.600361671
66,21,75,113205,0.793122565
102,14,89,98446,0.911670561
35,1,51,71594,1.251371344
80,65,15,84976,1.0531992559999999
94,10,51,121900,0.7337164890000001
106,13,63,84110,1.062971704
104,3,67,114895,0.77813186
105,58,35,102698,0.869739722
56,3,31,112940,0.789749247
27,4,63,131617,0.677294726
82,1,95,112565,0.7918911740000001
99,13,97,111809,0.7958487240000001
86,9,67,124788,0.712584784
99,2,101,119673,0.742826118
48,21,60,131743,0.6731966779999999
38,38,12,121632,0.7283333329999999
43,3,48,63061,1.4044699580000002
35,3,52,62006,1.427972616
54,9,11,80261,1.09967805
96,2,92,108930,0.8101632240000001
96,1,67,116848,0.754195707
88,6,47,68720,1.280616269
92,46,109,144111,0.61047623
95,12,82,135759,0.6466828720000001
93,21,68,107075,0.819026757
25,16,79,113061,0.775295725
23,11,74,119277,0.734588563
94,113,31,59830,1.463755474
22,8,34,87326,1.0018575220000001
86,3,74,126760,0.690051909
20,7,7,85624,1.021428571
60,93,36,118329,0.739067177
20,9,43,71368,1.224596738
51,36,106,128750,0.678582369
66,3,89,106167,0.82264602
48,104,62,89752,0.9725639540000001
53,11,36,63184,1.380619144
23,12,51,118422,0.73627451
97,5,69,119146,0.731558088
110,1,84,90564,0.962312287
99,5,68,109665,0.794431222
83,3,20,113068,0.7694140690000001
38,89,27,106399,0.8167115290000001
77,2,64,114718,0.757229554
107,7,113,147384,0.589203374
77,2,40,60149,1.4430294769999998
98,2,80,138420,0.624723523
67,41,53,113194,0.76250826
54,1,109,123276,0.700098478
